#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1549544979043749888.0000000000,-0.0867658374,0.0619292643,0.3855344317
1549544979123749888.0000000000,-0.0925838352,0.0653786059,0.3843854830
1549544979203749888.0000000000,-0.0969710327,0.0722239400,0.3874900555
1549544979283749888.0000000000,-0.1028310572,0.0700729724,0.3877935796
1549544979363749888.0000000000,-0.1118762628,0.0749644011,0.3914981067
1549544979443749888.0000000000,-0.1239947393,0.0824920027,0.3900805024
1549544979523749888.0000000000,-0.1443438759,0.0876759553,0.3877215390
1549544979603749888.0000000000,-0.1700761883,0.0890877826,0.3835371555
1549544979683749888.0000000000,-0.1934161449,0.0802164653,0.3772823382
1549544979763749888.0000000000,-0.2148215849,0.0685892505,0.3698922331
1549544979843749888.0000000000,-0.2329299891,0.0496483980,0.3618885355
1549544979923749888.0000000000,-0.2500970832,0.0262226107,0.3552197401
1549544980003749888.0000000000,-0.2590200048,-0.0021854574,0.3510713529
1549544980083749888.0000000000,-0.2630812271,-0.0400509629,0.3492016762
1549544980163749888.0000000000,-0.2664744880,-0.0814469684,0.3457909692
1549544980243749888.0000000000,-0.2609647072,-0.1284963107,0.3405010969
1549544980323749888.0000000000,-0.2548580828,-0.1735837131,0.3375306344
1549544980403749888.0000000000,-0.2473860566,-0.2166710178,0.3365742241
1549544980483749888.0000000000,-0.2336548329,-0.2596024750,0.3348167885
1549544980563749888.0000000000,-0.2183750350,-0.2984217916,0.3318593700
1549544980643749888.0000000000,-0.2033894134,-0.3309642578,0.3292590307
1549544980723749888.0000000000,-0.1846314497,-0.3524476930,0.3284390748
1549544980803749888.0000000000,-0.1633658842,-0.3704190966,0.3315834536
1549544980883749888.0000000000,-0.1373179094,-0.3840065133,0.3363498236
1549544980963749888.0000000000,-0.1122417491,-0.3919654900,0.3417966752
1549544981043749888.0000000000,-0.0810722466,-0.3897379299,0.3464873552
1549544981123749888.0000000000,-0.0506451924,-0.3754537063,0.3497775416
1549544981203749888.0000000000,-0.0249210377,-0.3545196050,0.3538724355
1549544981283749888.0000000000,-0.0027403944,-0.3302649308,0.3632029997
1549544981363749888.0000000000,0.0122695905,-0.2973677593,0.3724499637
1549544981443749888.0000000000,0.0216785123,-0.2544580718,0.3793892386
1549544981523749888.0000000000,0.0273425161,-0.2125532812,0.3811187934
1549544981603749888.0000000000,0.0342363096,-0.1703905295,0.3812289921
1549544981683749888.0000000000,0.0360818348,-0.1291414253,0.3804250177
1549544981763749888.0000000000,0.0416656301,-0.0914776272,0.3799431732
1549544981843749888.0000000000,0.0455692399,-0.0567502896,0.3773864350
1549544981923749888.0000000000,0.0488173125,-0.0271316103,0.3719495980
1549544982003749888.0000000000,0.0507464190,0.0068023789,0.3674244757
1549544982083749888.0000000000,0.0509018130,0.0479311621,0.3685578427
1549544982163749888.0000000000,0.0481576852,0.0846515558,0.3678276893
1549544982243749888.0000000000,0.0416868592,0.1168844271,0.3657575946
1549544982323749888.0000000000,0.0349028308,0.1485957466,0.3635850576
1549544982403749888.0000000000,0.0278751316,0.1760744285,0.3587468426
1549544982483749888.0000000000,0.0214378528,0.1973256729,0.3546734359
1549544982563749888.0000000000,0.0178595053,0.2121827069,0.3509661790
1549544982643749888.0000000000,0.0182453566,0.2210663296,0.3443273988
1549544982723749888.0000000000,0.0255136015,0.2208227262,0.3382450453
1549544982803749888.0000000000,0.0360028571,0.2114351597,0.3305776785
1549544982883749888.0000000000,0.0451867506,0.1938774732,0.3191235391
1549544982963749888.0000000000,0.0593280369,0.1782609517,0.3090926771
1549544983043749888.0000000000,0.0745027057,0.1652333651,0.3010407126
1549544983123749888.0000000000,0.0912253917,0.1517035200,0.2912831247
1549544983203749888.0000000000,0.1056263533,0.1401624441,0.2809463629
1549544983283749888.0000000000,0.1171246672,0.1329339791,0.2694111284
1549544983363749888.0000000000,0.1214886608,0.1297955715,0.2542371003
1549544983443749888.0000000000,0.1228604613,0.1260123500,0.2377032393
1549544983523749888.0000000000,0.1229754106,0.1222008519,0.2204928799
1549544983603749888.0000000000,0.1236255713,0.1218900924,0.2010797919
1549544983683749888.0000000000,0.1258267260,0.1223360720,0.1799619837
1549544983763749888.0000000000,0.1297833959,0.1214317629,0.1567883426
1549544983843749888.0000000000,0.1311142884,0.1179809280,0.1299788499
1549544983923749888.0000000000,0.1336758799,0.1103924389,0.1031178778
1549544984003749888.0000000000,0.1330746289,0.1043350341,0.0761959989
1549544984083749888.0000000000,0.1398186037,0.0986230403,0.0502646408
1549544984163749888.0000000000,0.1495088947,0.0907901582,0.0239187090
1549544984243749888.0000000000,0.1661545851,0.0827954134,-0.0048232535
1549544984323749888.0000000000,0.1841289910,0.0744124838,-0.0356355982
1549545116163749888.0000000000,1.0619946583,0.2654324991,-1.1323750698
1549545116243749888.0000000000,1.0158458220,0.2571205992,-1.1049376924
1549545116323749888.0000000000,0.9668287004,0.2569108842,-1.0821062458
