#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1549543477925498624.0000000000,-0.1311709097,0.1798352410,-0.1977798401
1549543478005498624.0000000000,-0.1316706702,0.1794462166,-0.1957028169
1549543478085498624.0000000000,-0.1312746087,0.1797880542,-0.1938585100
1549543478165498624.0000000000,-0.1312071637,0.1796664214,-0.1923800869
1549543478245498624.0000000000,-0.1330161043,0.1807292487,-0.1900890063
1549543478325498624.0000000000,-0.1341215886,0.1807655984,-0.1878825525
1549543478405498624.0000000000,-0.1334870982,0.1814879480,-0.1857380465
1549543478485498624.0000000000,-0.1332807131,0.1815788930,-0.1831362340
1549543478565498624.0000000000,-0.1361950916,0.1808606678,-0.1793417347
1549543478645498624.0000000000,-0.1350136859,0.1779397954,-0.1747140812
1549543478725498624.0000000000,-0.1291540748,0.1681431297,-0.1697082991
1549543478805498624.0000000000,-0.1166378112,0.1477360821,-0.1630702773
1549543478885498624.0000000000,-0.0961013440,0.1233204699,-0.1529016300
1549543478965498624.0000000000,-0.0683513672,0.0961293522,-0.1460229375
1549543479045498624.0000000000,-0.0425728213,0.0735318271,-0.1382971856
1549543479125498624.0000000000,-0.0232253340,0.0570302418,-0.1331466436
1549543479205498624.0000000000,-0.0153647302,0.0483093200,-0.1281309528
1549543479285498624.0000000000,-0.0195934051,0.0463369909,-0.1252636733
1549543479365498624.0000000000,-0.0388018249,0.0547666747,-0.1229701765
1549543479445498624.0000000000,-0.0697891344,0.0773675094,-0.1196938534
1549543479525498624.0000000000,-0.1073514889,0.1070308391,-0.1190236423
1549543479605498624.0000000000,-0.1499502113,0.1452735516,-0.1206583403
1549543479685498624.0000000000,-0.1970382074,0.1840835762,-0.1241451972
1549543479765498624.0000000000,-0.2445097230,0.2089178512,-0.1326756226
1549543479845498624.0000000000,-0.2901811510,0.2247994283,-0.1397564458
1549543479925498624.0000000000,-0.3342790840,0.2236922750,-0.1438230226
1549543480005498624.0000000000,-0.3698443756,0.2081208530,-0.1449296057
1549543480085498624.0000000000,-0.3987619659,0.1798702732,-0.1444801155
1549543480165498624.0000000000,-0.4211788659,0.1401829227,-0.1424801163
1549543480245498624.0000000000,-0.4354382570,0.0972873322,-0.1400422456
1549543480325498624.0000000000,-0.4399800589,0.0486026141,-0.1354699364
1549543480405498624.0000000000,-0.4344343668,0.0002954596,-0.1290118222
1549543480485498624.0000000000,-0.4182422276,-0.0484709810,-0.1206622362
1549543480565498624.0000000000,-0.3924438667,-0.0918999556,-0.1115002960
1549543480645498624.0000000000,-0.3584270850,-0.1229201445,-0.0995636981
1549543480725498624.0000000000,-0.3208183871,-0.1464970856,-0.0896213339
1549543480805498624.0000000000,-0.2835587036,-0.1484167206,-0.0753840904
1549543480885498624.0000000000,-0.2450264209,-0.1413773072,-0.0639090771
1549543480965498624.0000000000,-0.1965331806,-0.1186155446,-0.0541087224
1549543481045498624.0000000000,-0.1482624656,-0.0877229674,-0.0463192950
1549543481125498624.0000000000,-0.0979495926,-0.0445982965,-0.0401748627
1549543481205498624.0000000000,-0.0511019292,-0.0002685098,-0.0368026789
1549543481285498624.0000000000,-0.0031938940,0.0377810208,-0.0392106022
1549543481365498624.0000000000,0.0463607766,0.0560825832,-0.0470845352
1549543481445498624.0000000000,0.0915339237,0.0495028551,-0.0569576398
1549543481525498624.0000000000,0.1341111126,0.0298159907,-0.0655520632
1549543481605498624.0000000000,0.1648841780,-0.0072673858,-0.0747170213
1549543481685498624.0000000000,0.1759296607,-0.0566376433,-0.0886463029
1549543481765498624.0000000000,0.1680274267,-0.1035542814,-0.1049788557
1549543481845498624.0000000000,0.1385032075,-0.1418586388,-0.1220146883
1549543481925498624.0000000000,0.0961581271,-0.1642925528,-0.1347696325
1549543482005498624.0000000000,0.0442654304,-0.1732801586,-0.1444440359
1549543482085498624.0000000000,-0.0135305974,-0.1684073714,-0.1505596222
